"","year","html"
"1","2022","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2022"
"2","2021","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2021"
"3","2020","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2020"
"4","2019","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2019"
"5","2018","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2018"
"6","2017","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2017"
"7","2016","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2016"
"8","2015","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2015"
"9","2014","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2014"
"10","2013","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2013"
"11","2012","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2012"
"12","2011","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2011"
"13","2010","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2010"
"14","2009","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2009"
"15","2008","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2008"
"16","2007","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2007"
"17","2006","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2006"
"18","2005","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2005"
"19","2004","https://www.isdm-gdsi.gc.ca/csas-sccs/applications/events-evenements/result-eng.asp?year=2004"
